#NAME,MSINI,A,PER,TT,DEPTH,I,R,T14,RA,DEC,V,VURL,VREF,TEFF,RSTAR
#,mjupiter,au,day,,,deg,rjupiter,day,hr,deg,,,,k,rsun
WASP-117 b,0.2755,0.09459,10.02165,2456533.82326,0.00803,89.14,1.021,0.2475,2.45169166667,-50.28452777777,10.15,http://arxiv.org/pdf/1406.6942v1.pdf,Lendl 2014,6040,1.17
HATS-5 b,0.23698,0.0542,4.763387,2456273.79068,0.01157776,89.3,0.912,0.1244,4.481519,-21.4819,12.63,,,5304,0.871
Kepler-107 d,,0.0780099,7.958203,2454970.79968,,,0.095459,4.276,19.80188055555026,48.20861111111111,,,,5851,1.411
WASP-14 b,7.65457,0.0367693,2.243752,2454463.57583,0.0102,84.32,1.281,0.1275,14.55176527778308,21.8946944448683,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,6475,1.31
Kepler-50 b,,0.0825598,7.8125124,2455005.63186,,,0.196096,0.176829,19.20672694418165,50.03372222221559,10.54,,,6058,1.88
Kepler-20 b,0.0266149,0.0453704,3.6961219,2454967.50027,0.000344102,86.5,0.170247,0.113895,19.17986777729458,42.33869444423252,12.51,,,5466,0.944
HAT-P-27 b,0.615135,0.0399488,3.039577,2455407.9088,0.0143,85,1.02,0.07,14.85116361114714,5.947361111111111,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,5190,0.87
Kepler-181 b,,0.0419466,3.137873,2454966.5556199998,,,0.113302,1.888,19.7434305551317,50.09581111060249,,,,5333,0.749
Kepler-207 b,,0.0269045,1.611865,2454966.57041,,,0.140066,2.999,19.33536944442325,42.16604999966091,,,,5920,1.588
Kepler-11 c,0.04247,0.106909,13.0241,2455583.3494,0.0007508,89.59,0.255816,0.189333,19.80767277770572,41.90911111089918,,,,5663,1.065
WASP-21 b,0.300201,0.0521087,4.322482,2454743.0419,0.01082,88.75,1.07,0.1398,23.16618166711595,18.39605555534363,11.58,,,5800,1.06
Kepler-284 c,,0.219317,37.514456,2455022.30068,,,0.232849,5.352,19.54309999995762,47.72965000046624,,,,5615,0.814
Kepler-186 c,,0.0734268,7.267277,2455007.31461,,,0.119547,2.313,19.91018055597941,43.95501944435968,,,,4048,0.524
Kepler-239 b,,0.101225,11.763051,2455013.93614,,,0.207869,2.899,19.61348055521647,40.66341111077202,,,,4914,0.763
Kepler-174 b,,0.113583,13.98179,2455014.97351,,,0.174859,2.938,19.16261111153496,43.83208888901605,,,,4880,0.622
Kepler-224 d,,0.0988375,11.349393,2454967.31602,,,0.205192,3.114,19.39561944431729,47.35760000016954,,,,5018,0.676
Kepler-389 c,,0.116434,14.51143,2454976.86026,,,0.130252,2.967,19.46400000042386,44.90001944444452,,,,5376,0.792
Kepler-254 c,,0.104915,12.412183,2454975.53938,,,0.19181,3.362,19.21098055521647,45.81651111072964,,,,5957,0.91
Kepler-236 c,,0.162691,23.968127,2455019.2169,,,0.178428,4.166,18.92443055576748,39.89808055559794,,,,3750,0.51
WASP-25 b,0.578118,0.0473714,3.764825,2455274.99649,0.0187,88,1.22,0.116,13.02399277793037,-27.52219444433848,11.88,,,5750,0.92
Kepler-186 d,,0.110097,13.343058,2455009.90116,,,0.139174,2.798,19.91018055597941,43.95501944435968,,,,4048,0.524
Kepler-359 c,,0.292189,57.68802,2454972.94136,,,0.38362,4.161,19.55291111098396,42.19635000016954,,,,6248,1.086
Kepler-211 c,,0.0649112,6.04045,2455005.59435,,,0.115086,2.053,19.02928055551317,43.16848055561383,,,,5123,0.816
Kepler-294 c,,0.0690438,6.6264,2455016.98818,,,0.24177,3.175,19.15946944448683,46.05931111123827,,,,5913,0.976
Kepler-263 c,,0.256083,47.332773,2454984.4095,,,0.220359,3.069,19.4979805554284,37.5677888888783,,,,5265,0.785
Kepler-349 b,,0.0641159,5.929778,2454968.49118,,,0.169507,2.364,19.5784305551317,44.61558055559794,,,,5956,0.927
Kepler-361 b,,0.081426,8.486616,2454971.01734,,,0.12936,5.176,19.78690000004239,46.74114999983046,,,,6169,1.343
Kepler-318 c,,0.101523,11.815007,2454966.08965,,,0.328308,2.556,19.89885000016954,46.79361944410536,,,,5746,1.189
Kepler-372 b,,0.0705863,6.849692,2454967.68069,,,0.121331,4.12,19.4170805555582,49.25895000033908,,,,6509,1.137
Kepler-197 e,,0.168262,25.209715,2454987.41342,,,0.0811848,6.298,19.6817611111535,50.55898055606418,,,,6004,1.12
Kepler-405 c,,0.187804,29.726682,2456560.20398,,,0.415737,1.534,19.42729999966092,38.34001944435968,,,,5818,0.893
Kepler-104 d,,0.271796,51.755394,2455104.08611,,,0.319386,7.465,19.17363888899486,42.16678055555456,,,,5711,1.349
Kepler-26 d,,0.0454914,3.543919,2454969.25903,,,0.095459,2.012,18.99606944402059,46.5665388891432,,,,4486,0.571
Kepler-159 b,,0.0916828,10.139623,2455011.44948,,,0.212329,2.692,19.80468055566152,40.8687888888518,,,,4625,0.663
Kepler-32 f,,0.0130732,0.74296,2454965.54,0.000224,,0.0730903,0.039,19.85616027779049,46.57424999978807,,,,3793,0.53
WASP-103 b,1.48481,0.0198682,0.925542,2456459.59957,0.01195,86.3,1.528,0.108042,16.6209916665819,7.183352777777861,12.1,,,6110,1.436
Kepler-221 e,,0.136253,18.369917,2454964.86048,,,0.234633,2.245,19.77698055585225,46.83526944438616,,,,5243,0.821
Kepler-256 c,,0.0441473,3.38802,2455003.53221,,,0.19181,2.628,19.50536111089918,46.09738888846503,,,,5551,1.301
Kepler-276 b,,0.114376,14.12841,2454975.89515,,,0.256044,3.733,19.57121111128065,39.03631944444444,,,,6105,1.046
Kepler-264 c,,0.52792,140.101261,2455049.22078,,,0.252476,17.933,19.46963888883591,37.37623888863457,,,,6158,1.55
Kepler-143 b,,0.124306,16.007583,2454975.63677,,,0.215006,1.133,19.87118055555555,49.41260000016954,,,,5848,1.359
Kepler-189 c,,0.144846,20.134866,2455004.36552,,,0.212329,3.565,19.17098055548138,44.305,,,,5235,0.75
Kepler-62 b,,0.0552794,5.714932,2455003.9189,0.00043,89.2,0.116766,0.09625,18.88084972169664,45.34986111111111,13.8,,,4925,0.64
Kepler-281 b,,0.117153,14.646008,2454969.51691,,,0.251584,6.293,19.6072111108568,44.77070000012716,,,,5723,0.899
Kepler-196 c,,0.256426,47.427737,2455049.55425,,,0.199839,5.114,18.99789999961853,42.07919999970331,,,,5128,0.782
Kepler-238 c,,0.0657332,6.155557,2454967.82322,,,0.213222,4.837,19.19313888867696,40.63781944433848,,,,5751,1.43
Kepler-49 c,,0.07889,10.9129343,2455002.84919,,,0.227293,0.119071,19.48630583339267,40.59177777767182,,,,3974,0.53
Kepler-55 c,,0.202122,42.1516418,2454971.99284,,,0.196987,0.21904,19.01122250027127,44.02644444465637,,,,4362,0.58
WASP-19 b,1.11405,0.0163152,0.78884,2455168.96801,0.0206,79.4,1.386,0.0655,9.894465833240085,-45.65916666666666,12.59,,,5500,0.99
Kepler-310 d,,0.401368,92.876125,2454978.92567,,,0.220359,7.126,19.2559611108568,46.98673888895247,,,,5797,0.876
